school;sex;age;address;famsize;Pstatus;Medu;Fedu;Mjob;Fjob;reason;guardian;traveltime;studytime;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health;absences;G1;G2;G3;w
MS;F;18;R;LE3;T;4;4;teacher;services;course;mother;1;2;0;0;0;1;1;1;1;1;0;5;4;3;3;4;2;4;8;9;10;54
MS;F;18;U;GT3;T;3;3;other;other;home;mother;1;2;0;0;0;1;0;1;1;1;1;4;1;3;1;2;1;0;15;15;15;44
MS;F;17;R;GT3;T;3;1;at_home;other;reputation;mother;1;2;0;0;1;1;1;0;1;1;0;4;5;4;2;3;1;17;10;10;10;47
MS;M;18;U;GT3;T;4;4;teacher;teacher;home;father;1;2;0;0;0;1;1;0;1;1;0;3;2;4;1;4;2;4;15;14;14;64
MS;M;18;R;GT3;T;2;1;other;other;other;mother;2;1;0;0;0;0;1;0;1;1;1;4;4;3;1;3;5;5;7;6;7;45
MS;M;17;U;GT3;T;2;3;other;services;home;father;2;2;0;0;0;0;1;1;1;1;0;4;4;3;1;1;3;2;11;11;10;55
MS;M;19;R;GT3;T;1;1;other;services;other;mother;2;1;1;0;0;0;0;1;1;0;0;4;3;2;1;3;5;0;6;5;0;60
MS;M;18;R;GT3;T;4;2;other;other;home;father;2;1;1;0;0;1;0;1;1;0;0;5;4;3;4;3;3;14;6;5;5;45
MS;F;18;R;GT3;T;2;2;at_home;other;other;mother;2;3;0;0;0;1;0;1;1;0;0;5;3;3;1;3;4;2;10;9;10;50
MS;F;18;R;GT3;T;4;4;teacher;at_home;reputation;mother;3;1;0;0;1;1;1;1;1;1;1;4;4;3;2;2;5;7;6;5;6;55
MS;F;19;R;GT3;T;2;3;services;other;course;mother;1;3;1;0;0;0;1;0;1;1;0;5;4;2;1;2;5;0;7;5;0;45
MS;F;18;U;LE3;T;3;1;teacher;services;course;mother;1;2;0;0;1;1;0;1;1;1;0;4;3;4;1;1;1;0;7;9;8;49
MS;F;18;U;GT3;T;1;1;other;other;course;mother;2;2;1;0;0;0;1;1;1;0;0;1;1;1;1;1;5;0;6;5;0;56
MS;M;20;U;LE3;A;2;2;services;services;course;other;1;2;2;0;1;1;0;1;1;0;0;5;5;4;4;5;4;11;9;9;9;54
MS;M;17;U;LE3;T;3;1;services;services;course;mother;2;1;0;0;0;0;0;0;1;1;0;2;4;5;3;4;2;3;14;16;16;56
MS;M;21;R;GT3;T;1;1;other;other;course;other;1;1;3;0;0;0;0;0;1;0;0;5;5;3;3;3;3;3;10;8;7;63
MS;M;18;R;LE3;T;3;2;services;other;course;mother;3;1;0;0;0;0;0;0;1;1;0;4;4;1;3;4;5;0;11;12;10;46
MS;M;19;U;LE3;T;1;1;other;at_home;course;father;1;1;0;0;0;0;0;1;1;1;0;3;2;3;3;3;5;5;8;9;9;29
